time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1643	1.37815	5.19479	0.263972	0.270778	radar	4.55903	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3878	1.45645	5.1593	0.284741	0.281995	lidar	1.01583	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6159	1.55171	5.03682	0.317062	0.315152	radar	3.41094	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8405	1.57119	4.99296	0.301246	0.270113	lidar	1.54044	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1078	1.62363	5.06737	0.296702	0.24082	radar	2.31114	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3896	1.66008	5.1073	0.282677	0.202503	lidar	2.25733	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6198	1.71829	5.04744	0.288067	0.197537	radar	0.785114	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8494	1.77754	5.02465	0.292044	0.189231	lidar	0.320736	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1061	1.8723	5.12153	0.30855	0.195781	radar	1.45472	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3514	1.89003	5.09376	0.285005	0.148067	lidar	0.82721	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.609	1.94985	5.16263	0.281688	0.129583	radar	0.920485	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8077	2.09046	5.12869	0.331323	0.191405	lidar	3.09648	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0759	2.2031	5.25908	0.348427	0.196155	radar	3.12772	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2792	2.34718	5.22831	0.392652	0.245367	lidar	2.29927	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4525	2.50647	5.06675	0.452986	0.325083	radar	10.5505	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7041	2.61356	5.09813	0.462276	0.314857	lidar	0.924614	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9223	2.73144	5.07507	0.482003	0.322326	radar	0.141208	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1515	2.88143	5.10548	0.512754	0.342573	lidar	0.416773	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4037	2.99182	5.20622	0.508206	0.301122	radar	1.5815	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6132	3.05015	5.12806	0.491494	0.25743	lidar	2.48093	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8441	3.2108	5.21701	0.518253	0.270626	radar	3.53207	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0523	3.4055	5.24967	0.566929	0.319743	lidar	0.793724	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.26	3.58111	5.21995	0.606702	0.360675	radar	2.433	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4751	3.76466	5.25389	0.639994	0.381663	lidar	0.391144	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6859	3.90055	5.23141	0.648131	0.367061	radar	1.12241	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9109	4.03294	5.22598	0.649437	0.343384	lidar	0.336051	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1036	4.19932	5.15277	0.681284	0.376684	radar	1.67171	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3012	4.39091	5.18211	0.712708	0.393865	lidar	0.23613	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5119	4.55611	5.20932	0.723144	0.377442	radar	0.700031	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.691	4.71685	5.17866	0.739922	0.37487	lidar	0.500074	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8393	4.91308	5.04606	0.795661	0.453159	radar	3.87995	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0016	5.13732	5.08467	0.839559	0.482056	lidar	0.384459	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1719	5.30579	5.04998	0.855156	0.473517	radar	1.68533	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3311	5.47977	5.02277	0.87251	0.465235	lidar	0.207379	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4878	5.64544	4.96366	0.888878	0.462183	radar	3.063	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6839	5.75597	4.88982	0.865911	0.40048	lidar	1.90151	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8274	5.94988	4.84628	0.899724	0.430793	radar	0.734562	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0012	6.13923	4.86688	0.912084	0.41817	lidar	0.877602	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1522	6.34588	4.89848	0.934546	0.417226	radar	0.774327	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2712	6.58932	4.94246	0.980485	0.450848	lidar	0.566818	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4032	6.80334	4.94396	1.00843	0.460749	radar	0.210061	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5542	6.92966	4.83706	0.993772	0.411144	lidar	1.90511	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7065	7.13369	4.89237	0.99781	0.375625	radar	0.781841	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9086	7.26423	4.83116	0.96428	0.306345	lidar	3.78189	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9963	7.46215	4.7283	1.00944	0.366874	radar	3.87258	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0821	7.73861	4.81513	1.06756	0.419776	lidar	1.5119	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2056	7.94199	4.82213	1.07855	0.401068	radar	0.295459	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2827	8.1622	4.81034	1.11384	0.421129	lidar	1.2783	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3841	8.37005	4.82176	1.1257	0.397338	radar	2.21663	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4814	8.51183	4.69741	1.12378	0.369521	lidar	3.37794	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
